CodigoPostal;Nombre;Latitud;Longitud;CodigoProvincia
43518;25 De Gener (Bloc);40.834;0.5222;ES-T
15001;A Coruña;42.3749;-7.8049;ES-C
15002;A Coruña;42.3749;-7.8049;ES-C
15003;A Coruña;42.3749;-7.8049;ES-C
15004;A Coruña;42.3749;-7.8049;ES-C
15005;A Coruña;42.3749;-7.8049;ES-C
15006;A Coruña;42.3749;-7.8049;ES-C
15007;A Coruña;42.3749;-7.8049;ES-C
15008;A Coruña;42.3749;-7.8049;ES-C
15009;A Coruña;42.3749;-7.8049;ES-C
15010;A Coruña;42.3749;-7.8049;ES-C
15011;A Coruña;42.3749;-7.8049;ES-C
15070;A Coruña;42.3749;-7.8049;ES-C
15071;A Coruña;42.3749;-7.8049;ES-C
15080;A Coruña;42.3749;-7.8049;ES-C
15190;A Coruña;43.3713;-8.396;ES-C
64460;Aast;43.2833;-0.0833;FR-64
15177;Aba (Santa Maria De Dexo-Oleiros);43.3957;-8.3233;ES-C
44155;Ababuj;40.5491;-0.8076;ES-TE
15563;Abade (Santiago);43.55;-8.0167;ES-C
24891;Abadengo De Torio;42.7136;-5.5142;ES-LE
40141;Abades;40.9165;-4.2694;ES-SG
32633;Abades;41.9098;-7.795;ES-OR
36589;Abades (Santa Maria);42.7433;-8.5033;ES-PO
10748;Abadia;40.2592;-5.9783;ES-CC
09586;Abadia La Mena;43.1546;-3.2707;ES-BU
27730;Abadin (Casco Urbano);43.3133;-7.4833;ES-LU
27730;Abadin (Santa Maria);43.3133;-7.4833;ES-LU
48220;Abadiño;43.1511;-2.6094;ES-BI
48220;Abadiño-Zelaieta;43.1511;-2.6094;ES-BI
31280;Abaigar;42.6482;-2.1418;ES-NA
55130;Abainville;48.5305;5.4945;FR-55
09141;Abajas De Bureba;42.6174;-3.5537;ES-BU
33559;Aballe;43.3274;-5.1434;ES-O
36612;Abalo (San Mamede);42.667;-8.7045;ES-PO
26339;Abalos;42.5715;-2.7096;ES-LO
20269;Abaltzisketa;43.0474;-2.1053;ES-SS
38687;Abama;28.2237;-16.7943;ES-TF
33556;Abamia;43.3333;-5.05;ES-O
19432;Abanades;40.8926;-2.4853;ES-GU
33814;Abanceña;43.1518;-6.6213;ES-O
42368;Abanco;41.3814;-2.9509;ES-SO
